representation,num_clusters,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity,clusterer,model,modality,device,amp
latent,20.0,0.7362487316131592,1298.7781859737004,0.6484973476859335,-0.009195781187341585,0.0888136559204762,0.09978386167146974,kmeans,beta_vae,multimodal,cuda,True
pca_kmeans,20.0,0.6841168999671936,462.51663816364425,0.7613244437609581,0.06213516863955221,0.24806057254980937,0.11455331412103746,kmeans,pca,multimodal,cpu,False
