representation,num_clusters,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity,clusterer,model,modality,device,amp
latent,1.0,,,,0.0,0.0,0.5,dbscan,vae,audio,cpu,False
pca_kmeans,2.0,0.176254004240036,43.037837899444895,1.909714824239163,0.27761879209131324,0.2550203268743649,0.765,kmeans,pca,audio,cpu,False
