representation,num_clusters,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity,clusterer,model,modality,device,amp
latent,2.0,0.9194809198379515,342.89688718994466,0.2372413138650765,0.0024270961008701,0.0513556720154113,0.53,kmeans,vae,lyrics,cuda,True
pca_kmeans,2.0,0.261727899312973,2.6769274900572237,0.7019547862714688,0.0024270961008701,0.0513556720154113,0.53,kmeans,pca,lyrics,cpu,False
